vue_serie_6_mois,temps,periode,moment,attente,Binge_watching,refaire_binge_watching,pratiquer_binge_watching,type_serie,choix_serie,Recommandations_d'un_ami,Avis_d’autres_utilisateurs_sur_des_sites_web,Buzz,Acteurs,Pub,Realisateur/Production,Recommandations_plateformes,plateforme_serie,compagnie_serie,duree_ideal_serie,serie_avant,avis_netflix,prix_plateforme,age,sexe,categorie,nationalite,choix_fun,origine_serie,choix_ile,langue_serie
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Non,,Non,"Action - Aventure,Dramatique,Policier,SF - Fantastique,Sitcom","Game of Thrones,Friends,Les Simpsons,Vikings,Dragon Ball",2,0,-1,-1,-1,-1,-1,"En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Je ne souhaite pas payer pour ce genre de service,25,homme,2A,Francais,L'ours,"Americaine,British",Ferdinand,VOSTFR
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Oui,"Action - Aventure,Anime - Manga,Comedie,Dessins animes,Horreur - Epouvante,Policier,SF - Fantastique","Les Simpsons,The Wire,Stranger Things,Dragon Ball,Serie de Fourier",1,-1,-2,0,-1,1,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,En couple",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Entre de 5E et 10E,25,homme,Doctorant,Francais,L'ours,"Americaine,British,Japonais",Antoine,"VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Dessins animes,SF - Fantastique,Sitcom","Game of Thrones,Les Simpsons,Vikings,Rich and Morty,Dragon Ball",2,1,1,-1,0,0,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites,chaines payantes","Seul,En couple,Entre amis,En famille",Entre 20min et 30min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,20,homme,2A,Francais,L'ours,"Americaine,British,Japonais",Amelie,"VO,VOSTFR"
Oui,Entre 3h et 6h,"En semaine,Le weekend","La journee,En soiree,La nuit",Regarder une serie en cours de diffusion,Oui,Oui,,"Dramatique,SF - Fantastique,Sitcom","Game of Thrones,Friends,Les Simpsons,House of Cards,Prison Break",1,0,0,0,-2,-2,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites","Seul,En couple,En famille",Entre 40min et 1h,,Le prix est trop eleve,Entre de 5E et 10E,21,femme,2A,Francais,L'ours,"Americaine,British,Francaise,allemande",Anis,"VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend","En soiree,La nuit",Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Anime - Manga,Comedie,Dramatique,Policier,SF - Fantastique","Friends,Grey's Anatomy,Vikings,Stranger Things,Lost",2,1,1,2,-1,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites","Seul,Entre amis",Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Entre de 5E et 10E,26,homme,3A,Francais,L'ours,Americaine,,VOSTFR
Oui,Entre 3h et 6h,Le weekend,En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Horreur - Epouvante,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Prison Break,Lost",1,-1,0,-2,1,-2,-2,"En telechargement ou streaming illegal","Seul,En couple",Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Moins de 5E,21,homme,2A,Francais,Le requin,Americaine,Edouard,VOSTFR
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Dramatique,Policier,SF - Fantastique,Sitcom","Game of Thrones,House of Cards,Vikings,Stranger Things,Lost",1,2,1,-2,-2,-2,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,Pas adaptees a mes besoins,Entre de 5E et 10E,23,homme,Doctorant,Francais,Le requin,"Americaine,British,Japonais,Italienne",Amelie,VOSTFR
Oui,Entre 1h et 3h,Le weekend,En soiree,Ne regarder que les series completement terminees,Non,,Non,"Policier,Romantique,SF - Fantastique","Game of Thrones,My Love from another Star,House of Cards,Le Bureau des Legendes,Downtown Abbey",1,1,0,2,-2,-2,-2,"Des plateformes de visionnage payantes,chaines gratuites","Seul,En famille",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,49,femme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Coreen",,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Comedie,Romantique,Sitcom","Friends,Le Bureau des Legendes,Downtown Abbey,Un Dos Tres,Stranger Things",1,-1,-1,0,-2,-2,-2,"En telechargement ou streaming illegal,chaines gratuites",Seul,Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Je ne souhaite pas payer pour ce genre de service,19,femme,1A,Francais,L'ours,"Americaine,Francaise",Edouard,"VOSTFR,VOSTEN"
Oui,Moins d'1h,"En semaine,Le weekend",La nuit,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Oui,"Action - Aventure,SF - Fantastique","Game of Thrones,Stranger Things,Dragon Ball,Prison Break,Serie de Fourier",2,1,0,0,0,1,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines payantes","En couple,Entre amis,En famille",Entre 1h et 1h30,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Moins de 5E,21,homme,1A,Francais,L'ours,"Americaine,Francaise",Amelie,"VO,VOSTFR"
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Dramatique,Horreur - Epouvante,Policier,SF - Fantastique,Sitcom","Game of Thrones,Friends,Vikings,Rich and Morty,Stranger Things",2,1,1,-1,0,0,0,"En telechargement ou streaming illegal,chaines gratuites","Seul,En couple,En famille",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,22,femme,3A,Francais,L'ours,"Americaine,British,Japonais",Amelie,"VO,VOSTFR"
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,Anime - Manga,Comedie,Dramatique,Horreur - Epouvante","Game of Thrones,House of Cards,Le Bureau des Legendes,Vikings,Stranger Things",1,-1,1,-2,-2,2,2,"Des plateformes de visionnage payantes",En couple,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,22,homme,Ancien eleve,Francais,L'ours,"Americaine,Japonais",,"VOSTFR,VF"
Oui,Entre 1h et 3h,En semaine,En soiree,Ne regarder que les series completement terminees,Oui,Oui,,"Comedie,Horreur - Epouvante,SF - Fantastique","Friends,Les Simpsons,Le Bureau des Legendes,Stranger Things,Serie de Fourier",-1,-2,-2,-1,-2,-1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple,En famille",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,55,homme,Enseignant/Chercheur,Francais,Le requin,"Americaine,British",Amelie,"VOSTFR,VF"
Non,,,,,,,,,,,,,,,,,,,,Non,"Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Je ne souhaite pas payer pour ce genre de service,54,homme,Personnel de l'ecole,Francais,L'ours,,Amelie,
Oui,Plus de 10h #jen'aipasdevie,En semaine,"La journee,En soiree",Je n'ai pas de preference,Non,,Non,"Action - Aventure,SF - Fantastique","Game of Thrones,Les Simpsons,House of Cards,Vikings,Stranger Things",0,2,2,-2,-1,-2,-2,"En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Moins de 5E,20,homme,1A,Francais,Le requin,Americaine,,VOSTEN
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga,SF - Fantastique","Game of Thrones,Vikings,Rich and Morty,Stranger Things,Prison Break",1,0,0,1,-1,0,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,Entre amis,En famille",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,27,homme,Ancien eleve,Francais,L'ours,"Americaine,British,Francaise,Japonais",,VO
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Comedie,Dramatique,Dessins animes,Policier,SF - Fantastique","Game of Thrones,Hana Yori Dango,Rich and Morty,The Sopranos,Serie de Fourier",1,0,-2,-1,-2,-2,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,En couple,Entre amis",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,24,femme,3A,Francais,L'ours,"Latino,Americaine,British",Amelie,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Non,,Non,Policier,"Grey's Anatomy,House of Cards,Le Bureau des Legendes,The Sopranos,Prison Break",0,-1,-1,1,0,0,0,"chaines gratuites,chaines payantes",En couple,Entre 30min et 40min,,Le prix est trop eleve,Moins de 5E,49,homme,Personnel de l'ecole,Francais,Le requin,"Americaine,Francaise",,VF
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend",En soiree,Ne regarder que les series completement terminees,Oui,Oui,,"Comedie,Dramatique,Policier,Romantique,Sitcom","Friends,Grey's Anatomy,Les Simpsons,House of Cards,Le Bureau des Legendes",1,0,0,-1,-1,0,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines gratuites,chaines payantes","Seul,En couple",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre 10E et 20E,29,femme,Personnel de l'ecole,Francais,Le requin,"Americaine,Francaise",Amelie,"VOSTFR,VF"
Oui,Entre 1h et 3h,"En semaine,Le weekend","La journee,En soiree",Je n'ai pas de preference,Oui,Oui,,"Comedie,Dramatique,Policier,Romantique,SF - Fantastique","Friends,House of Cards,Stranger Things,Prison Break,Lost",0,-2,-1,0,0,-1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,21,femme,1A,Francais,L'ours,"Americaine,British",Antoine,VO
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,Policier,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,Vikings,Downtown Abbey",2,1,2,2,2,1,1,"En telechargement ou streaming illegal,chaines gratuites","Seul,Entre amis",Entre 40min et 1h,,Le prix est trop eleve,Entre de 5E et 10E,22,homme,3A,Francais,L'ours,"Americaine,British,Francaise",Amelie,"VO,VOSTFR,VOSTEN,VF"
Oui,Moins d'1h,En semaine,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Comedie,Policier","Friends,Les Simpsons,The Wire,The Sopranos,Twin Peaks",2,-1,-2,1,-2,0,-2,"Des plateformes de visionnage payantes,Sur support physique","Seul,En famille",Entre 30min et 40min,,Proposent une large gamme de films et des series en illimite et sans publicite,Moins de 5E,35,femme,Personnel de l'ecole,Francais,L'ours,"Americaine,Francaise",,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,Le weekend,La journee,Regarder une serie en cours de diffusion,Non,,Non,"Action - Aventure,Dramatique","Friends,Grey's Anatomy,Le Bureau des Legendes,Un Dos Tres,Prison Break",1,1,-2,0,0,0,0,"En telechargement ou streaming illegal","Seul,En couple",Entre 40min et 1h,,Le prix est trop eleve,Je ne souhaite pas payer pour ce genre de service,23,femme,Personnel de l'ecole,Francais,Le requin,Americaine,,"VOSTFR,VF"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Non,,Oui,"Action - Aventure,SF - Fantastique","Game of Thrones,Friends,Les Simpsons,Vikings,Stranger Things",2,2,1,-2,-2,-2,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",En couple,Entre 40min et 1h,,Adaptees a mes besoins,Entre 10E et 20E,32,homme,Personnel de l'ecole,Francais,Le requin,Americaine,Amelie,VF
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Anime - Manga,Comedie,Dessins animes","Friends,Le Bureau des Legendes,Un Dos Tres,Dragon Ball,Serie de Fourier",1,-2,-2,-2,-2,-2,-2,"En telechargement ou streaming illegal,chaines gratuites","Seul,En couple",Entre 30min et 40min,,"Pas adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,26,femme,Ancien eleve,Francais,L'ours,"Americaine,Japonais",,"VOSTFR,VOSTEN"
Non,,,,,,,,,,,,,,,,,,,,Non,Pas adaptees a mes besoins,Je ne souhaite pas payer pour ce genre de service,60,homme,Enseignant/Chercheur,Francais,Le requin,,Anis,
Oui,Entre 1h et 3h,Le weekend,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Comedie,Horreur - Epouvante,Policier,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,The Wire,Stranger Things",2,1,0,0,-1,1,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",En couple,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,48,homme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Francaise",Amelie,VF
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Non,,Non,"Comedie,Dramatique,SF - Fantastique,Sitcom","Game of Thrones,Vikings,Stranger Things,Dragon Ball,Serie de Fourier",1,0,1,-2,-2,1,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,En couple",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,23,femme,Doctorant,Francais,Le requin,"Americaine,British,Francaise",,VOSTFR
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Anime - Manga,Comedie,Dramatique,Policier,SF - Fantastique","Friends,Vikings,Downtown Abbey,Dragon Ball,The Sopranos",2,1,0,1,1,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,Sur support physique","Seul,En couple,En famille",Entre 30min et 40min,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,30,femme,Personnel de l'ecole,Francais,Le requin,"Americaine,British,Japonais",Antoine,"VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Anime - Manga,Policier,SF - Fantastique","Game of Thrones,Les Simpsons,House of Cards,Vikings,Prison Break",1,1,0,1,-1,0,0,"En telechargement ou streaming illegal","Seul,Entre amis",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,21,homme,2A,Francais,L'ours,"Americaine,British,Japonais",Amelie,VOSTFR
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Non,,"Action - Aventure,Anime - Manga,Dessins animes,SF - Fantastique","Game of Thrones,Rich and Morty,Stranger Things,Twin Peaks,Serie de Fourier",2,1,1,-2,-2,-2,-2,"Des plateformes de visionnage payantes","Seul,En couple",Entre 20min et 30min,,Adaptees a mes besoins,Je ne souhaite pas payer pour ce genre de service,26,homme,Doctorant,Francais,Le requin,"Americaine,Japonais",Ahmed,VOSTFR
Oui,Entre 3h et 6h,"En semaine,Le weekend","La journee,En soiree",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Policier,SF - Fantastique","Game of Thrones,Friends,Le Bureau des Legendes,Vikings,Stranger Things",1,-2,-2,0,0,0,0,"Des plateformes de visionnage payantes,chaines gratuites,chaines payantes","Seul,En couple,Entre amis",Entre 40min et 1h,,"Adaptees a mes besoins,Pas adaptees a mes besoins",Entre 10E et 20E,34,femme,Personnel de l'ecole,Francais,Le requin,"Americaine,British",Anis,"VOSTFR,VF"
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Policier,Sitcom","Game of Thrones,Friends,House of Cards,Vikings,Lost",1,0,0,0,-2,-2,-2,"chaines gratuites,chaines payantes,Sur support physique","Seul,En couple,En famille",Entre 30min et 40min,,Je ne connais pas,Moins de 5E,41,femme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Francaise",Anis,"VO,VOSTFR,VF"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Non,,Non,"Action - Aventure,Comedie,Dramatique,Policier,SF - Fantastique","Game of Thrones,Grey's Anatomy,House of Cards,Vikings,Downtown Abbey",2,0,0,0,0,0,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,Entre amis,En famille",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,22,femme,2A,Francais,Le requin,"Americaine,British,Francaise",Amelie,"VO,VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,Le weekend,En soiree,Je n'ai pas de preference,Non,,Non,"Comedie,Dramatique,Policier","Friends,House of Cards,Downtown Abbey,The Sopranos,Prison Break",1,0,1,1,-1,0,0,"Des plateformes de visionnage payantes,chaines gratuites",En couple,Entre 20min et 30min,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,40,femme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Francaise",Anis,VF
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Oui,"Comedie,Policier,SF - Fantastique","Game of Thrones,Friends,Les Simpsons,Stranger Things,Prison Break",2,1,-2,-2,-2,-2,-2,"En telechargement ou streaming illegal,chaines gratuites,Sur support physique","Seul,Entre amis",Entre 40min et 1h,,Pas adaptees a mes besoins,Je ne souhaite pas payer pour ce genre de service,33,homme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Francaise",Anis,"VOSTFR,VF"
Oui,Entre 3h et 6h,En semaine,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Dramatique,Dessins animes,Horreur - Epouvante,Policier,SF - Fantastique","Game of Thrones,House of Cards,The Wire,The Sopranos,Twin Peaks",2,2,0,-1,-2,1,-1,"En telechargement ou streaming illegal,chaines gratuites",En couple,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,44,homme,Personnel de l'ecole,Francais,L'ours,"Americaine,British,Francaise,Nordiques",,VOSTFR
Oui,Entre 1h et 3h,"En semaine,Le weekend","La journee,En soiree",Regarder une serie en cours de diffusion,Oui,Non,,"Action - Aventure,Anime - Manga,Policier,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Stranger Things,Serie de Fourier",2,0,1,2,-2,-2,-2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple",Entre 40min et 1h,,Adaptees a mes besoins,Entre de 5E et 10E,24,homme,Ancien eleve,Francais,L'ours,"Americaine,British,Japonais",,"VO,VOSTFR,VOSTEN"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Action - Aventure,Horreur - Epouvante,Policier,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,Vikings,Downtown Abbey",-2,-1,-2,-2,0,-2,-2,"Des plateformes de visionnage payantes,chaines gratuites,chaines payantes,Sur support physique","Seul,En couple,Entre amis,En famille",Entre 1h et 1h30,,Pas adaptees a mes besoins,Entre de 5E et 10E,36,femme,Personnel de l'ecole,Francais,Le requin,Americaine,Ferdinand,"VOSTFR,VF"
Oui,Moins d'1h,Le weekend,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Non,,Oui,"Action - Aventure,Anime - Manga,Policier,Sitcom","Game of Thrones,Les Simpsons,House of Cards,Le Bureau des Legendes,Serie de Fourier",1,1,-1,1,-1,-1,-1,"En telechargement ou streaming illegal,chaines gratuites","Seul,En famille",Entre 30min et 40min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,28,homme,Enseignant/Chercheur,Camerounais,Le requin,"Americaine,Africaine",Ferdinand,"VOSTFR,VF"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Policier,SF - Fantastique,Sitcom","Game of Thrones,House of Cards,Vikings,Prison Break,Serie de Fourier",2,0,1,-1,-2,-1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,20,homme,2A,Francais,L'ours,Americaine,Amelie,VOSTFR
Oui,Entre 3h et 6h,"En semaine,Le weekend","En soiree,La nuit",Regarder une serie en cours de diffusion,Non,,Oui,"Comedie,Horreur - Epouvante,Policier,SF - Fantastique,Sitcom","Game of Thrones,Friends,Vikings,Downtown Abbey,Stranger Things",2,1,0,-1,-2,2,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",En couple,Entre 40min et 1h,,Pas adaptees a mes besoins,Entre de 5E et 10E,21,femme,2A,Francais,Le requin,"Americaine,British,Francaise",Anis,VO
Oui,Entre 6h et 10h,"En semaine,Le weekend","La journee,En soiree,La nuit",Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Comedie,Policier,SF - Fantastique,Sitcom","Game of Thrones,Friends,Grey's Anatomy,House of Cards,Vikings",1,0,0,1,0,1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal,chaines payantes,Sur support physique","Seul,En couple",Entre 20min et 30min,,"Le prix est trop eleve,Pas adaptees a mes besoins",Moins de 5E,22,femme,3A,Francais,L'ours,"Americaine,British",Edouard,VOSTFR
Oui,Entre 3h et 6h,En semaine,En soiree,Regarder une serie en cours de diffusion,Oui,Oui,,"Policier,SF - Fantastique","Game of Thrones,Le Bureau des Legendes,Vikings,Twin Peaks,Serie de Fourier",2,1,-1,1,-1,1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",En couple,Entre 40min et 1h,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,29,homme,Personnel de l'ecole,Francais,L'ours,"Americaine,Francaise",Amelie,VOSTFR
Oui,Moins d'1h,En semaine,En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,Comedie,Policier","Les Simpsons,Le Bureau des Legendes,Dragon Ball,Prison Break,Serie de Fourier",1,0,-1,-2,-2,-2,-2,"En telechargement ou streaming illegal,chaines gratuites",Seul,Entre 20min et 30min,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,22,homme,3A,Francais,L'ours,Americaine,Amelie,"VOSTFR,VOSTEN"
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend","La journee,En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Comedie,Dramatique,Policier,Romantique","Game of Thrones,Friends,House of Cards,Vikings,Stranger Things",2,-2,1,0,0,1,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,Entre amis,En famille",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Entre de 5E et 10E,22,femme,3A,Francais,L'ours,"Americaine,British",Amelie,"VO,VOSTEN"
Oui,Entre 6h et 10h,"En semaine,Le weekend","La journee,En soiree",Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Comedie,SF - Fantastique","Game of Thrones,Vikings,The Wire,Stranger Things,Twin Peaks",1,1,-2,2,-1,0,-2,"En telechargement ou streaming illegal","Seul,En couple,Entre amis",Entre 40min et 1h,,Le prix est trop eleve,Moins de 5E,26,femme,Doctorant,Francais,Le requin,"Americaine,British",Anis,VO
Non,,,,,,,,"Comedie,Dessins animes","Friends,Grey's Anatomy,Les Simpsons,Rich and Morty,Dragon Ball",1,0,0,1,-1,1,-1,chaines gratuites,"Seul,En famille",Entre 20min et 30min,Oui,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve",Je ne souhaite pas payer pour ce genre de service,30,femme,Enseignant/Chercheur,Francais,Le requin,Americaine,,VO
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Comedie,Dramatique,Policier","Game of Thrones,Friends,House of Cards,The Sopranos,Prison Break",2,0,1,1,0,-1,-1,"En telechargement ou streaming illegal,chaines gratuites","Seul,En famille",Entre 40min et 1h,,Pas adaptees a mes besoins,Entre de 5E et 10E,44,femme,Enseignant/Chercheur,Francais,Le requin,"Americaine,British,Francaise",Amelie,"VOSTFR,VF"
Oui,Moins d'1h,Le weekend,"La journee,En soiree",Regarder une serie en cours de diffusion,Non,,Non,"Dramatique,Policier,SF - Fantastique","Game of Thrones,House of Cards,Le Bureau des Legendes,Downtown Abbey,Stranger Things",2,-1,0,-1,-1,-1,-2,"En telechargement ou streaming illegal,chaines gratuites","Seul,Entre amis",Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins",Moins de 5E,20,femme,2A,Francais,L'ours,"Americaine,British",Anis,"VOSTFR,VOSTEN"
Oui,Entre 1h et 3h,En semaine,En soiree,Regarder une serie en cours de diffusion,Non,,Non,"Action - Aventure,Dramatique,Dessins animes,Policier","Grey's Anatomy,Les Simpsons,Le Bureau des Legendes,Vikings,Serie de Fourier",0,-2,0,0,-2,1,0,"chaines gratuites,chaines payantes",En couple,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Pas adaptees a mes besoins",Entre de 5E et 10E,43,homme,Enseignant/Chercheur,Francais,Le requin,"British,Francaise",,VF
