vue_serie_6_mois,temps,periode,moment,attente,Binge_watching,refaire_binge_watching,pratiquer_binge_watching,type_serie,choix_serie,Recommandations_d'un_ami,Avis_d’autres_utilisateurs_sur_des_sites_web,Buzz,Acteurs,Pub,Realisateur/Production,Recommandations_plateformes,plateforme_serie,compagnie_serie,duree_ideal_serie,serie_avant,avis_netflix,prix_plateforme,age,sexe,categorie,nationalite,choix_fun,origine_serie,choix_ile,langue_serie
Oui,Moins d'1h,"En semaine,Le weekend","En soiree,La nuit",Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Romantique,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Rich and Morty,Serie de Fourier",1,1,0,0,0,0,0,"En telechargement ou streaming illegal","Seul,En couple,Entre amis",Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Je ne souhaite pas payer pour ce genre de service,23,homme,3A,Francais,Le requin,"Americaine,British",Edouard,"VO,VOSTEN"
Oui,Entre 1h et 3h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Oui,Oui,,"Action - Aventure,Anime - Manga,Comedie,Horreur - Epouvante,Policier,SF - Fantastique","Game of Thrones,Vikings,Stranger Things,Dragon Ball,Twin Peaks",1,2,1,-1,-1,1,-2,"En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Adaptees a mes besoins,Je prefere acceder au contenu illegalement et gratuitement",Moins de 5E,21,homme,3A,Francais,Le requin,"Americaine,British,Japonais",Ferdinand,VOSTFR
Oui,Entre 1h et 3h,En semaine,En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,"Anime - Manga,Comedie,Dramatique,Dessins animes,SF - Fantastique","Game of Thrones,Les Simpsons,Vikings,Rich and Morty,Lost",0,-2,0,0,-2,-1,-1,"En telechargement ou streaming illegal","En couple,Entre amis",Entre 40min et 1h,,Je prefere acceder au contenu illegalement et gratuitement,Je ne souhaite pas payer pour ce genre de service,21,homme,2A,Francais,L'ours,Americaine,Amelie,"VO,VOSTFR,VOSTEN"
Oui,Entre 3h et 6h,En semaine,En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,SF - Fantastique","Game of Thrones,Vikings,Dragon Ball,Lost,Serie de Fourier",-1,1,0,-1,-2,-2,-2,"En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,Pas adaptees a mes besoins,Je ne souhaite pas payer pour ce genre de service,20,homme,2A,Francais,L'ours,,Amelie,"VO,VOSTFR,VOSTEN"
Oui,Plus de 10h #jen'aipasdevie,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Action - Aventure,Comedie,Dramatique,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Stranger Things,Dragon Ball",1,0,2,1,0,0,1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 30min et 40min,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre 10E et 20E,22,homme,3A,Francais,L'ours,"Americaine,British",Amelie,"VO,VOSTFR"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Attendre la sortie de la saison entiere avant de commencer le visionnage,Oui,Oui,,Dramatique,"Game of Thrones,Friends,House of Cards,Downtown Abbey,Stranger Things",1,-1,0,1,-2,2,0,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,"Proposent une large gamme de films et des series en illimite et sans publicite,Le prix est trop eleve,Adaptees a mes besoins",Moins de 5E,20,femme,2A,Francais,L'ours,"Americaine,British,Francaise,Europe du Nord",Ferdinand,"VO,VOSTFR"
Oui,Entre 3h et 6h,"En semaine,Le weekend",En soiree,Regarder une serie en cours de diffusion,Non,,Non,SF - Fantastique,"Game of Thrones,House of Cards,Le Bureau des Legendes,Vikings,Downtown Abbey",1,0,2,1,1,2,2,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal",Seul,Entre 40min et 1h,,Proposent une large gamme de films et des series en illimite et sans publicite,Plus de 20E,20,homme,1A,Francais,L'ours,"Americaine,Japonais",,VOSTFR
Oui,Entre 1h et 3h,Le weekend,La nuit,Regarder une serie en cours de diffusion,Oui,Oui,,"Action - Aventure,Anime - Manga,SF - Fantastique","Game of Thrones,House of Cards,Vikings,Dragon Ball,Serie de Fourier",1,1,1,-2,-1,0,1,"En telechargement ou streaming illegal,chaines payantes","Seul,Entre amis,En famille",Entre 30min et 40min,,"Le prix est trop eleve,Je prefere acceder au contenu illegalement et gratuitement",Entre de 5E et 10E,19,homme,1A,Francais,Le requin,"Americaine,Japonais",Amelie,"VO,VOSTFR,VOSTEN"
Oui,Moins d'1h,En semaine,La journee,Regarder une serie en cours de diffusion,Oui,Oui,,"Anime - Manga,Dramatique,SF - Fantastique","Game of Thrones,Friends,Vikings,Dragon Ball,Prison Break",2,-2,1,1,1,1,-1,"Des plateformes de visionnage payantes,En telechargement ou streaming illegal","Seul,En couple",Entre 20min et 30min,,Proposent une large gamme de films et des series en illimite et sans publicite,Entre de 5E et 10E,23,homme,3A,Francais,L'ours,"Americaine,Japonais",Ferdinand,VOSTFR
Oui,Entre 6h et 10h,"En semaine,Le weekend",En soiree,Je n'ai pas de preference,Non,,Non,"Dramatique,Policier,Romantique,Sitcom","Friends,Grey's Anatomy,My Love from another Star,Downtown Abbey,Prison Break",1,1,0,0,-2,-2,-2,"En telechargement ou streaming illegal,chaines gratuites,Sur support physique","Seul,En couple,Entre amis",Entre 30min et 40min,,"Le prix est trop eleve,Pas adaptees a mes besoins",Moins de 5E,20,femme,2A,Francais,Le requin,"Americaine,British",Anis,"VO,VOSTFR,VOSTEN"
